metric,sample_count,total_ms,mean_ms,p50_ms,p75_ms,p90_ms,p95_ms,p99_ms,max_ms,stddev_ms,source_runs
renderer.refreshLeaf.resolveStyle,42,0.3653730000014548,0.008699357142891781,0.0008125000003929017,0.001040999999986525,0.009512800000004517,0.08371665000001911,0.09989863000011609,0.10029100000019753,0.02439446650353429,36
font.loadFont,288,5.07133900000224,0.01760881597223,0.014583500000071581,0.019406249999860847,0.02667510000002267,0.03429770000001894,0.07415374999999348,0.10370899999998073,0.012299324258373991,36
font.measureWithDom,288,53.935517999997955,0.18727610416665957,0.053250500000103784,0.12662500000021737,0.20193739999982654,0.36123934999999757,2.573134790000012,14.489334000000099,0.9107053488662343,36
font.measurePage,42,58.525123000000235,1.3934553095238151,0.5746040000001358,1.161312750000036,3.574371100000029,4.556155650000044,10.954612840000006,15.373542000000043,2.4882426054462994,36
renderer.refreshLeaf.fontMetrics,42,58.83324900000025,1.4007916428571487,0.5773750000000746,1.1648649999998781,3.5780826999998214,4.610351750000057,10.978057779999979,15.377375000000029,2.492974427911303,36
renderer.refreshLeaf.prepareRoots,42,35.04862399999911,0.8344910476190264,0.42439549999994597,0.9622917499997357,2.2885086000000228,2.792368450000031,3.362664000000064,3.6904590000001463,0.8500331343190521,36
renderer.refreshLeaf.compileStyle,42,111.22499599999912,2.64821419047617,0.918895500000076,1.3432702499999891,5.545912799999969,7.452229499999958,29.388750559999846,43.15924999999993,6.634101597466592,36
pageLayout.configure,39,219.23683400000107,5.62145728205131,1.8775000000000546,2.8971460000001343,8.622483399999876,15.044104199999985,64.35648137999989,79.82466599999998,13.607092208111196,33
renderer.refreshLeaf.total,42,1787.0493759999995,42.54879466666665,34.15495800000019,46.37557299999992,70.49912939999996,132.34303959999997,178.8349448399997,200.9939589999999,37.796534472248275,36
reading.reconcile,39,191.54587499999946,4.911432692307678,0.003916000000117492,0.04733349999997927,23.473442200000047,31.620758299999725,43.22163111999979,47.330333999999766,11.37571620195199,33
paperOrigin.scan,36,145.07562499999972,4.029878472222214,1.1130210000000602,4.630197749999979,8.914478999999801,13.928011000000083,28.638454500000005,35.957042,6.490998665298907,30
rhythm.scan,36,366.473335999999,10.179814888888862,5.770666999999946,13.138031249999926,23.008562499999982,32.749885500000005,46.58809824999996,53.24829199999999,10.817424790484335,30
pageLayout.pagination,33,6844.912459000001,207.4215896666667,202.11437499999965,225.91920900000014,312.84726639999997,613.2924922,732.2193634400002,770.3557500000002,165.69358463872246,27
pageLayout.layout,33,6912.447830000001,209.4681160606061,203.366125,228.61250000000018,316.24839160000005,622.3773327999997,740.25159012,778.316417,167.7469491172188,27
