scenario_id,run_number,valid,platform,environment_id,fixture_id,style_profile,leaf_count,feature_mask,duration_ms,templar_total_measured_ms,refresh_all_count,refresh_file_count,refresh_leaf_count,paginate_count,reading_reconcile_count,mutation_callback_count,resize_callback_count,templar_raf_count,frame_gap_p95_ms,frame_gap_max_ms,long_task_count,long_task_total_ms,heap_start_bytes,heap_end_bytes,thermal_start,thermal_end,battery_start_percent,battery_end_percent,notes
A-existing-F002-pageless-free-run-1,1,true,cli,synthetic-happy-dom,F002,S2,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",55.177708999999936,23.754500000000007,1,,1,,1,,,,2,2,0,0,,,,,,,raw/A-existing/A-existing-F002-pageless-free__run-1.templar-perf.json
A-existing-F002-pageless-free-run-2,2,true,cli,synthetic-happy-dom,F002,S2,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",49.36070899999993,19.748958000000016,1,,1,,1,,,,2,2,0,0,,,,,,,raw/A-existing/A-existing-F002-pageless-free__run-2.templar-perf.json
A-existing-F002-pageless-free-run-3,3,true,cli,synthetic-happy-dom,F002,S2,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",50.55679199999997,20.841290999999956,1,,1,,1,,,,2,2,0,0,,,,,,,raw/A-existing/A-existing-F002-pageless-free__run-3.templar-perf.json
A-existing-F002-pageless-grid-run-1,1,true,cli,synthetic-happy-dom,F002,S3,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",77.68816700000002,47.34087499999987,1,,1,,1,,,,2,2,0,0,,,,,,,raw/A-existing/A-existing-F002-pageless-grid__run-1.templar-perf.json
A-existing-F002-pageless-grid-run-2,2,true,cli,synthetic-happy-dom,F002,S3,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",79.23687499999994,48.499041000000034,1,,1,,1,,,,2,2,0,0,,,,,,,raw/A-existing/A-existing-F002-pageless-grid__run-2.templar-perf.json
A-existing-F002-pageless-grid-run-3,3,true,cli,synthetic-happy-dom,F002,S3,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",83.64987500000007,51.532833000000096,1,,1,,1,,,,2,2,0,0,,,,,,,raw/A-existing/A-existing-F002-pageless-grid__run-3.templar-perf.json
C-reading-1000-run-1,1,true,cli,synthetic-happy-dom,F005-1000,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",1114.9795,200.9939589999999,1,,1,1,1,,,,815,815,0,0,,,,,,,raw/C-reading-scaling/C-reading-1000__run-1.templar-perf.json
C-reading-1000-run-2,2,true,cli,synthetic-happy-dom,F005-1000,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",874.1829579999999,146.9475829999999,1,,1,1,1,,,,629,629,0,0,,,,,,,raw/C-reading-scaling/C-reading-1000__run-2.templar-perf.json
C-reading-1000-run-3,3,true,cli,synthetic-happy-dom,F005-1000,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",883.5342919999998,71.362167,1,,1,1,1,,,,706,706,0,0,,,,,,,raw/C-reading-scaling/C-reading-1000__run-3.templar-perf.json
C-reading-100-run-1,1,true,cli,synthetic-happy-dom,F005-100,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",79.2652079999998,7.276916999999912,1,,1,1,1,,,,64,64,0,0,,,,,,,raw/C-reading-scaling/C-reading-100__run-1.templar-perf.json
