metric,sample_count,total_ms,mean_ms,p50_ms,p75_ms,p90_ms,p95_ms,p99_ms,max_ms,stddev_ms,source_runs
renderer.refreshLeaf.resolveStyle,42,0.3630830000016658,0.008644833333372995,0.0008330000000569271,0.0010727500000484724,0.009128599999951347,0.08203990000029047,0.10705325000022178,0.11479200000030687,0.025340995479726115,36
font.loadFont,288,5.312380999994161,0.01844576736109084,0.014750000000049113,0.020646000000112963,0.02781690000006165,0.03668970000001646,0.09319370999955935,0.11195900000006986,0.014572504663638866,36
font.measureWithDom,288,37.46595899999454,0.1300901354166477,0.05606199999988348,0.10728100000011409,0.19740440000007314,0.3295370499999933,2.024273960000147,2.199707999999987,0.2766788630992805,36
font.measurePage,42,42.39487200000224,1.0094017142857676,0.5941455000000815,0.9866562499999247,2.3526000000003924,3.836429200000107,4.2808405,4.467083000000002,1.0505348359268667,36
renderer.refreshLeaf.fontMetrics,42,42.66741600000216,1.0158908571429086,0.5960620000000745,0.9898232500000006,2.3563039000001473,3.885122250000024,4.335755969999956,4.517624999999953,1.0617307947450487,36
renderer.refreshLeaf.prepareRoots,42,84.41470499999946,2.0098739285714156,0.9843539999999393,2.846072500000446,4.449421100000029,6.539706249999899,7.595310969999977,7.701125000000047,1.9308348666907174,36
renderer.refreshLeaf.compileStyle,42,74.3985869999982,1.7713949285713857,1.1879795000002105,1.9151772499998856,3.0363710999996325,6.946470850000043,7.263424999999875,7.374124999999822,1.7040466818497202,36
pageLayout.configure,39,123.0653330000008,3.15552135897438,1.6810419999992519,2.444291499999963,7.460357800000021,13.172287800000165,15.39773604000008,15.795042000000194,3.815448196917788,33
renderer.refreshLeaf.total,42,2528.2526249999996,60.19649107142856,64.25541700000002,79.98920799999973,94.5355494000002,116.84575034999976,153.3608847799999,169.972667,35.433064837475186,36
reading.reconcile,4839,2858.9658900000018,0.5908175015499074,0.4505420000000413,0.8274794999999813,1.2049422000000958,1.560803599999872,2.4261445000000728,8.093959000000268,0.5307735849367072,33
paperOrigin.scan,36,129.1966239999997,3.5887951111111027,1.149770500000045,3.838802249999958,9.222270499999809,13.86756225000022,19.276833549999925,21.855166999999938,4.755498745515428,30
rhythm.scan,36,1974.7215830000018,54.853377305555604,54.79402049999993,71.09544824999989,87.99702050000019,113.28483349999999,149.0310579999998,163.17333299999973,34.70345262161572,30
pageLayout.pagination,33,6955.798453000002,210.78177130303038,192.37804099999994,234.29975000000013,340.1826749999999,598.668283,635.1618115600002,646.9476250000002,150.3044767217368,27
pageLayout.layout,33,7055.5803750000005,213.8054659090909,194.1085410000005,235.6958749999999,343.78758279999994,607.1637166,644.9043498799999,656.7700829999999,152.7946565122652,27
